order_id,order_time,delivery_time,status,cancellation_reason,order_value,delivery_fee,estimated_delivery_time_min,time_to_assign_courier_min,actual_preparation_time_min,travel_time_min,delivery_distance_km,promotion_used,platform,city_region,user_id,user_segment
745,2022-11-01 00:27:18,2022-11-01 01:17:36,delivered,,22.16,1.4,21.0,4.6,24.6,21.1,2.34,no,Android,Alfama,6103,new
143,2022-11-01 00:27:25,2022-11-01 01:03:31,delivered,,23.45,2.51,31.0,3.5,15.6,17.0,4.19,no,iOS,Alfama,11206,new
710,2022-11-01 00:28:13,2022-11-01 01:25:19,delivered,,36.59,7.14,78.0,2.8,15.1,39.2,11.9,no,iOS,Parque das Nacoes,7324,returning
581,2022-11-01 00:28:58,2022-11-01 01:16:10,delivered,,19.83,3.58,35.0,3.4,14.4,29.4,5.96,no,iOS,Belem,9997,returning
361,2022-11-01 00:30:12,2022-11-01 00:47:06,delivered,,17.14,0.64,8.0,5.3,6.6,5.0,1.06,no,Android,Belem,11281,returning
871,2022-11-01 00:31:42,2022-11-01 01:03:24,delivered,,32.91,2.75,31.0,4.6,14.4,12.7,4.58,yes,Android,Baixa,15099,returning
734,2022-11-01 00:32:04,2022-11-01 00:59:10,delivered,,11.32,1.04,19.0,3.6,16.5,7.0,1.74,no,Android,Alfama,15600,returning
697,2022-11-01 00:34:12,2022-11-01 01:19:24,delivered,,22.96,3.56,42.0,6.0,12.7,26.5,5.93,no,iOS,Alfama,10408,returning
299,2022-11-01 00:34:17,2022-11-01 01:08:53,delivered,,13.17,2.2,36.0,4.3,14.9,15.4,3.66,no,iOS,Baixa,16861,new
494,2022-11-01 00:34:22,2022-11-01 01:01:52,delivered,,25.05,0.56,18.0,4.5,18.0,5.0,0.94,no,iOS,Baixa,4655,new
924,2022-11-01 00:34:40,2022-11-01 01:40:40,delivered,,30.95,5.69,57.0,2.5,19.6,43.9,9.48,no,iOS,Alfama,15428,returning
410,2022-11-01 00:35:28,2022-11-01 00:59:10,delivered,,36.46,0.91,20.0,2.1,16.6,5.0,1.51,no,Android,Baixa,15816,returning
320,2022-11-01 00:36:22,2022-11-01 01:15:22,delivered,,18.87,1.45,13.0,3.2,19.6,16.2,2.41,yes,iOS,Parque das Nacoes,18299,returning
821,2022-11-01 00:37:19,2022-11-01 01:31:13,delivered,,31.96,5.6,61.0,4.0,17.0,32.9,9.34,no,Android,Baixa,1435,returning
434,2022-11-01 00:38:04,2022-11-01 01:09:52,delivered,,21.13,1.68,15.0,1.6,22.4,7.8,2.8,no,Android,Alfama,11876,returning
439,2022-11-01 00:44:44,2022-11-01 01:13:56,delivered,,36.53,2.65,33.0,3.8,12.5,12.9,4.42,no,Android,Belem,10145,returning
415,2022-11-01 00:45:32,2022-11-01 01:24:50,delivered,,27.45,1.93,27.0,3.7,17.6,18.0,3.22,no,iOS,Parque das Nacoes,13987,returning
717,2022-11-01 00:46:10,2022-11-01 01:25:34,delivered,,22.95,3.34,40.0,3.3,9.9,26.2,5.57,no,iOS,Alfama,18983,returning
457,2022-11-01 00:46:30,2022-11-01 01:28:54,delivered,,28.29,3.23,39.0,5.0,12.4,25.0,5.38,no,Android,Alfama,9693,returning
344,2022-11-01 00:48:14,2022-11-01 01:07:32,delivered,,26.7,0.95,19.0,4.3,8.6,6.4,1.58,no,iOS,Alfama,6869,returning
392,2022-11-01 00:48:45,2022-11-01 01:22:15,delivered,,40.3,2.32,34.0,4.5,11.4,17.6,3.87,no,Android,Parque das Nacoes,8366,returning
98,2022-11-01 00:50:46,2022-11-01 01:14:28,delivered,,24.56,2.59,33.0,4.5,10.6,8.6,4.31,no,Android,Baixa,17570,returning
314,2022-11-01 00:51:22,2022-11-01 01:29:04,delivered,,41.97,2.76,35.0,3.8,14.2,19.7,4.6,yes,Android,Alfama,16906,returning
271,2022-11-01 00:51:32,2022-11-01 01:36:26,delivered,,23.97,1.61,23.0,3.8,23.7,17.4,2.69,no,Android,Alfama,16841,returning
161,2022-11-01 00:52:04,2022-11-01 01:27:40,delivered,,26.24,2.8,37.0,3.7,17.7,14.2,4.67,no,iOS,Alfama,15257,new
933,2022-11-01 00:52:55,2022-11-01 01:21:25,delivered,,35.11,1.12,21.0,3.7,19.8,5.0,1.86,no,iOS,Baixa,14621,returning
160,2022-11-01 00:55:29,2022-11-01 01:37:05,delivered,,24.06,2.72,35.0,4.9,15.8,20.9,4.54,no,Android,Alfama,6184,returning
72,2022-11-01 00:56:10,2022-11-01 01:18:04,delivered,,29.59,0.84,15.0,4.9,9.9,7.1,1.4,no,iOS,Parque das Nacoes,3213,returning
487,2022-11-01 00:56:23,2022-11-01 01:21:53,delivered,,20.6,0.73,15.0,4.9,14.7,5.9,1.21,no,iOS,Parque das Nacoes,10721,returning
757,2022-11-01 00:56:34,2022-11-01 01:27:28,delivered,,32.93,2.56,20.0,2.6,10.3,18.0,4.27,no,iOS,Alfama,16405,returning
788,2022-11-01 00:59:20,2022-11-01 01:34:50,delivered,,26.93,2.74,33.0,2.3,15.0,18.2,4.57,no,iOS,Baixa,2818,returning
560,2022-11-01 00:59:56,2022-11-01 01:38:02,delivered,,27.71,2.81,38.0,4.5,16.2,17.4,4.68,no,Android,Baixa,19350,returning
737,2022-11-01 01:00:49,2022-11-01 01:32:55,delivered,,18.04,1.6,20.0,5.0,15.5,11.6,2.67,no,iOS,Parque das Nacoes,6905,returning
881,2022-11-01 01:01:05,2022-11-01 01:26:41,delivered,,27.46,1.82,20.0,5.2,13.7,6.7,3.03,no,Android,Belem,18476,returning
319,2022-11-01 01:04:27,2022-11-01 01:36:27,delivered,,18.12,2.16,26.0,5.1,15.3,11.6,3.6,no,Android,Belem,5602,returning
910,2022-11-01 01:04:33,2022-11-01 01:43:03,delivered,,11.0,2.29,28.0,3.1,12.6,22.8,3.81,no,Android,Alfama,14011,returning
214,2022-11-01 01:05:25,2022-11-01 02:12:49,delivered,,14.51,7.1,76.0,6.7,12.7,48.0,11.84,no,Android,Belem,4177,returning
448,2022-11-01 01:10:13,2022-11-01 01:43:31,delivered,,21.21,1.73,28.0,5.0,15.2,13.1,2.88,no,iOS,Alfama,10905,new
665,2022-11-01 01:10:42,,cancelled,Cancelled by user,14.34,1.65,13.0,5.2,20.9,6.6,2.75,yes,iOS,Parque das Nacoes,6681,returning
274,2022-11-01 01:13:09,2022-11-01 01:53:39,delivered,,28.73,1.58,18.0,4.7,14.2,21.6,2.63,no,iOS,Belem,19121,new
106,2022-11-01 01:16:05,2022-11-01 01:46:35,delivered,,30.52,2.76,32.0,4.6,14.5,11.4,4.6,no,Android,Belem,18975,returning
180,2022-11-01 01:16:14,2022-11-01 01:58:44,delivered,,24.16,2.31,31.0,4.9,18.4,19.2,3.85,no,Android,Parque das Nacoes,17397,returning
546,2022-11-01 01:16:56,2022-11-01 01:51:38,delivered,,37.28,2.8,34.0,3.3,16.9,14.5,4.67,no,Android,Alfama,1231,returning
975,2022-11-01 01:17:07,2022-11-01 02:11:43,delivered,,25.95,3.68,41.0,3.4,21.0,30.2,6.14,no,Android,Alfama,4188,new
146,2022-11-01 01:18:06,2022-11-01 01:51:36,delivered,,39.0,0.97,12.0,3.6,19.1,10.8,1.62,yes,iOS,Belem,4979,new
153,2022-11-01 01:18:52,2022-11-01 01:55:34,delivered,,27.34,3.52,40.0,3.9,13.3,19.5,5.87,no,Android,Alfama,4715,returning
539,2022-11-01 01:18:59,2022-11-01 01:48:35,delivered,,22.4,1.69,26.0,2.8,9.1,17.7,2.81,no,iOS,Parque das Nacoes,12525,returning
742,2022-11-01 01:22:00,2022-11-01 01:52:48,delivered,,20.3,1.73,26.0,5.0,14.3,11.5,2.89,no,Android,Belem,16856,new
22,2022-11-01 01:22:03,2022-11-01 01:59:45,delivered,,18.07,1.67,28.0,4.1,22.3,11.3,2.78,no,iOS,Belem,1852,returning
571,2022-11-01 01:23:08,2022-11-01 01:58:26,delivered,,25.53,1.5,17.0,4.6,19.4,11.3,2.5,no,Android,Belem,7686,returning
652,2022-11-01 01:24:04,2022-11-01 02:14:40,delivered,,32.45,3.46,40.0,5.0,17.6,28.0,5.76,no,Android,Alfama,11570,returning
41,2022-11-01 01:27:59,2022-11-01 02:04:29,delivered,,10.0,0.86,11.0,4.6,19.2,12.7,1.43,no,iOS,Parque das Nacoes,17984,returning
119,2022-11-01 01:28:07,,cancelled,Cancelled by user,32.41,2.6,32.0,5.6,14.9,15.8,4.33,no,iOS,Alfama,10692,returning
305,2022-11-01 01:29:01,2022-11-01 02:03:13,delivered,,33.72,2.07,30.0,5.0,19.0,10.2,3.45,no,Android,Parque das Nacoes,16131,returning
718,2022-11-01 01:29:28,2022-11-01 01:50:34,delivered,,25.43,1.93,30.0,5.1,9.0,7.0,3.21,no,iOS,Parque das Nacoes,10485,returning
169,2022-11-01 01:34:13,2022-11-01 01:59:43,delivered,,33.36,0.85,25.0,3.9,15.1,6.5,1.42,no,Android,Belem,11844,returning
959,2022-11-01 01:35:19,2022-11-01 02:57:13,delivered,,21.06,11.37,90.0,4.5,17.4,60.0,18.95,no,Android,Belem,13280,returning
233,2022-11-01 01:36:24,2022-11-01 02:20:12,delivered,,31.86,4.2,52.0,4.6,13.7,25.5,7.0,no,iOS,Baixa,18293,returning
159,2022-11-01 01:37:22,2022-11-01 02:10:28,delivered,,32.49,3.8,38.0,5.1,9.6,18.4,6.34,no,iOS,Alfama,3149,new
286,2022-11-01 01:38:46,2022-11-01 02:03:52,delivered,,24.91,1.22,18.0,4.4,15.1,5.6,2.03,no,Android,Baixa,16528,returning
780,2022-11-01 01:38:49,2022-11-01 02:11:01,delivered,,23.2,3.75,45.0,2.1,10.0,20.1,6.25,no,iOS,Belem,6065,returning
381,2022-11-01 01:40:04,2022-11-01 02:08:28,delivered,,23.22,1.64,20.0,2.5,18.8,7.1,2.73,no,iOS,Alfama,19214,returning
930,2022-11-01 01:40:53,2022-11-01 02:20:11,delivered,,25.46,2.87,43.0,3.3,20.5,15.5,4.78,no,Android,Belem,16460,returning
688,2022-11-01 01:41:16,2022-11-01 02:16:40,delivered,,33.94,2.23,32.0,4.5,14.0,16.9,3.72,no,iOS,Baixa,7235,returning
78,2022-11-01 01:41:28,2022-11-01 02:12:16,delivered,,19.08,1.7,22.0,4.4,19.0,7.4,2.84,no,iOS,Parque das Nacoes,18823,returning
44,2022-11-01 01:42:27,2022-11-01 02:14:09,delivered,,29.44,1.83,25.0,1.6,16.4,13.7,3.05,no,Android,Parque das Nacoes,7228,returning
137,2022-11-01 01:42:30,2022-11-01 02:11:24,delivered,,29.29,0.63,16.0,5.2,18.7,5.0,1.05,no,iOS,Belem,12881,returning
469,2022-11-01 01:43:51,,cancelled,Cancelled by user,21.56,3.58,35.0,4.1,26.8,19.0,5.96,no,Android,Belem,1963,returning
900,2022-11-01 01:46:35,2022-11-01 02:35:17,delivered,,21.32,6.94,69.0,3.8,9.1,35.8,11.57,no,Android,Belem,12172,returning
440,2022-11-01 01:49:20,2022-11-01 02:15:38,delivered,,20.29,0.91,14.0,5.0,12.5,8.8,1.52,no,iOS,Alfama,4698,new
840,2022-11-01 01:50:38,2022-11-01 02:14:56,delivered,,27.41,1.41,22.0,4.3,13.9,6.1,2.35,no,Android,Parque das Nacoes,1226,returning
659,2022-11-01 01:52:27,2022-11-01 02:27:45,delivered,,18.19,1.13,22.0,3.5,21.5,10.3,1.89,no,iOS,Alfama,11685,returning
649,2022-11-01 01:53:03,2022-11-01 02:27:57,delivered,,10.0,2.03,25.0,3.1,18.4,13.4,3.39,no,iOS,Alfama,4291,returning
785,2022-11-01 01:53:34,2022-11-01 02:27:46,delivered,,21.61,2.02,27.0,2.5,15.9,15.8,3.36,no,iOS,Baixa,8038,returning
931,2022-11-01 01:53:39,2022-11-01 02:30:21,delivered,,20.22,2.6,37.0,3.2,17.4,16.1,4.33,no,Android,Belem,6604,returning
163,2022-11-01 01:53:55,2022-11-01 02:44:37,delivered,,34.84,3.1,37.0,4.5,19.4,26.8,5.16,no,iOS,Alfama,3069,returning
96,2022-11-01 01:56:16,2022-11-01 02:39:52,delivered,,27.18,2.73,33.0,3.2,17.3,23.1,4.55,no,iOS,Parque das Nacoes,19375,returning
389,2022-11-01 01:57:33,2022-11-01 02:34:03,delivered,,39.29,1.34,23.0,2.7,24.5,9.3,2.24,no,Android,Baixa,14393,returning
664,2022-11-01 01:58:17,2022-11-01 02:28:11,delivered,,27.52,2.56,32.0,3.1,14.6,12.2,4.26,no,Android,Baixa,6999,returning
270,2022-11-01 01:58:51,2022-11-01 02:35:33,delivered,,30.72,1.73,30.0,4.4,14.7,17.6,2.88,yes,iOS,Belem,16890,returning
807,2022-11-01 01:59:20,2022-11-01 02:29:08,delivered,,14.0,0.71,15.0,3.6,21.2,5.0,1.19,no,Android,Parque das Nacoes,7667,returning
990,2022-11-01 01:59:28,2022-11-01 02:28:58,delivered,,29.71,1.72,30.0,4.0,13.0,12.5,2.87,no,iOS,Alfama,15535,returning
209,2022-11-01 01:59:41,2022-11-01 02:17:35,delivered,,31.17,0.93,10.0,2.3,9.0,6.6,1.55,no,Android,Baixa,13474,new
19,2022-11-01 02:02:40,2022-11-01 02:25:10,delivered,,25.94,1.81,23.0,4.5,9.4,8.6,3.02,yes,Android,Parque das Nacoes,7742,returning
492,2022-11-01 02:03:52,2022-11-01 02:56:34,delivered,,21.62,4.31,44.0,3.1,20.4,29.2,7.18,no,iOS,Baixa,4847,returning
394,2022-11-01 02:05:08,2022-11-01 02:28:02,delivered,,38.84,2.03,22.0,4.2,10.6,8.1,3.38,no,Android,Belem,18684,returning
151,2022-11-01 02:05:37,2022-11-01 02:34:01,delivered,,41.19,1.34,21.0,4.1,14.4,9.9,2.23,no,iOS,Baixa,10008,returning
826,2022-11-01 02:06:50,2022-11-01 02:27:44,delivered,,19.67,0.62,13.0,3.6,12.3,5.0,1.03,no,iOS,Parque das Nacoes,8521,new
912,2022-11-01 02:08:18,2022-11-01 02:31:12,delivered,,27.69,0.95,16.0,5.0,12.7,5.2,1.59,no,Android,Baixa,6647,returning
714,2022-11-01 02:09:40,2022-11-01 02:47:28,delivered,,36.17,3.81,39.0,5.1,11.1,21.6,6.35,no,iOS,Alfama,10464,returning
630,2022-11-01 02:10:42,2022-11-01 02:34:36,delivered,,28.21,1.16,19.0,3.6,15.3,5.0,1.94,no,Android,Alfama,12204,returning
614,2022-11-01 02:11:07,2022-11-01 02:57:31,delivered,,22.09,3.58,41.0,2.8,13.4,30.2,5.96,no,Android,Baixa,18783,new
50,2022-11-01 02:11:10,2022-11-01 02:57:22,delivered,,30.04,3.62,46.0,3.9,19.8,22.5,6.03,no,iOS,Parque das Nacoes,5848,returning
646,2022-11-01 02:12:42,2022-11-01 02:46:06,delivered,,10.0,0.8,10.0,3.4,18.5,11.5,1.34,no,iOS,Baixa,2716,returning
545,2022-11-01 02:15:26,2022-11-01 02:50:32,delivered,,24.35,0.78,20.0,3.0,19.8,12.3,1.3,no,Android,Belem,17176,new
91,2022-11-01 02:16:10,2022-11-01 02:52:04,delivered,,20.91,1.79,27.0,4.3,19.3,12.3,2.98,no,Android,Alfama,11998,returning
559,2022-11-01 02:18:24,2022-11-01 02:57:42,delivered,,22.41,4.68,57.0,3.3,10.4,25.6,7.8,no,iOS,Baixa,9093,returning
533,2022-11-01 02:21:11,2022-11-01 02:44:59,delivered,,22.88,0.62,20.0,3.4,15.4,5.0,1.04,no,Android,Parque das Nacoes,9836,returning
295,2022-11-01 02:21:33,2022-11-01 02:46:39,delivered,,14.06,1.73,21.0,3.4,14.7,7.0,2.89,no,Android,Baixa,8680,returning
293,2022-11-01 02:27:05,,cancelled,Cancelled by user,28.14,2.77,32.0,3.2,7.3,15.9,4.61,no,iOS,Belem,14809,returning
204,2022-11-01 02:28:15,2022-11-01 02:50:57,delivered,,28.5,1.18,23.0,4.0,12.3,6.4,1.97,no,iOS,Baixa,7581,new
676,2022-11-01 02:28:44,2022-11-01 03:01:08,delivered,,26.92,1.42,19.0,3.5,13.3,15.6,2.36,no,iOS,Alfama,10113,returning
491,2022-11-01 02:30:36,2022-11-01 03:00:36,delivered,,31.15,1.82,22.0,2.7,20.5,6.8,3.04,no,iOS,Parque das Nacoes,18406,returning
463,2022-11-01 02:30:43,2022-11-01 02:55:25,delivered,,19.51,0.99,10.0,4.7,14.1,5.9,1.65,no,iOS,Alfama,8638,new
729,2022-11-01 02:32:27,2022-11-01 03:04:33,delivered,,12.71,1.98,29.0,4.5,18.1,9.5,3.3,no,Android,Alfama,7810,new
173,2022-11-01 02:33:45,2022-11-01 03:28:57,delivered,,29.49,6.01,61.0,3.3,17.9,34.0,10.01,no,iOS,Baixa,14293,returning
874,2022-11-01 02:34:23,2022-11-01 02:57:29,delivered,,24.47,2.44,37.0,3.9,9.4,9.8,4.07,no,Android,Baixa,1653,returning
641,2022-11-01 02:34:32,2022-11-01 03:29:08,delivered,,36.06,3.43,44.0,3.1,18.2,33.3,5.72,no,iOS,Alfama,2553,returning
609,2022-11-01 02:37:58,2022-11-01 03:06:28,delivered,,29.61,0.76,9.0,2.9,10.8,14.8,1.27,no,Android,Baixa,17701,returning
642,2022-11-01 02:38:39,2022-11-01 03:07:57,delivered,,29.43,1.87,21.0,3.3,10.1,15.9,3.11,no,iOS,Belem,7626,returning
703,2022-11-01 02:39:34,2022-11-01 03:15:28,delivered,,40.72,2.93,32.0,3.3,13.4,19.2,4.88,no,Android,Belem,13084,returning
467,2022-11-01 02:39:59,2022-11-01 03:12:11,delivered,,16.93,1.72,27.0,4.4,21.5,6.3,2.87,yes,iOS,Baixa,19220,returning
794,2022-11-01 02:40:24,2022-11-01 03:33:12,delivered,,26.52,3.07,34.0,3.7,19.9,29.2,5.11,no,iOS,Baixa,5198,returning
488,2022-11-01 02:44:25,2022-11-01 03:23:49,delivered,,31.14,2.07,19.0,5.4,16.6,17.4,3.45,no,iOS,Baixa,1479,returning
626,2022-11-01 02:46:46,2022-11-01 03:44:28,delivered,,37.25,4.85,56.0,4.2,22.3,31.2,8.09,no,iOS,Alfama,6296,returning
292,2022-11-01 02:51:22,2022-11-01 03:37:10,delivered,,19.15,1.28,20.0,4.5,20.4,20.9,2.13,no,Android,Baixa,9556,returning
93,2022-11-01 02:55:03,2022-11-01 03:23:15,delivered,,21.32,2.09,26.0,5.4,13.9,8.9,3.48,no,Android,Parque das Nacoes,18876,returning
921,2022-11-01 02:55:31,2022-11-01 03:42:43,delivered,,25.8,3.24,33.0,5.9,17.5,23.8,5.4,no,iOS,Belem,14227,returning
155,2022-11-01 02:55:43,2022-11-01 03:12:01,delivered,,24.61,0.59,12.0,3.8,7.5,5.0,0.98,no,Android,Parque das Nacoes,12002,returning
968,2022-11-01 02:56:12,2022-11-01 03:29:24,delivered,,24.59,0.98,16.0,4.1,18.4,10.7,1.64,no,iOS,Alfama,17741,returning
369,2022-11-01 02:56:43,2022-11-01 03:43:13,delivered,,24.11,2.67,24.0,5.3,16.6,24.6,4.45,no,iOS,Alfama,2786,returning
1000,2022-11-01 02:57:42,2022-11-01 03:37:18,delivered,,14.97,3.59,42.0,4.0,11.8,23.8,5.98,no,iOS,Belem,17468,returning
138,2022-11-01 02:58:59,2022-11-01 03:27:47,delivered,,10.0,1.63,23.0,6.5,15.9,6.4,2.71,yes,Android,Parque das Nacoes,1520,returning
182,2022-11-01 03:02:16,2022-11-01 03:59:40,delivered,,40.48,4.58,42.0,3.7,21.9,31.8,7.64,no,iOS,Belem,11512,new
773,2022-11-01 03:02:22,2022-11-01 03:36:28,delivered,,25.22,0.98,13.0,3.4,22.3,8.4,1.63,no,Android,Alfama,14591,returning
582,2022-11-01 03:02:33,2022-11-01 03:26:57,delivered,,20.89,1.38,25.0,2.7,15.0,6.7,2.3,yes,Android,Baixa,7890,new
628,2022-11-01 03:04:11,2022-11-01 03:37:53,delivered,,26.91,1.8,22.0,5.3,16.3,12.1,3.0,no,iOS,Belem,8715,returning
388,2022-11-01 03:04:27,2022-11-01 03:30:21,delivered,,10.0,1.33,18.0,3.2,17.7,5.0,2.21,no,iOS,Baixa,16411,returning
466,2022-11-01 03:05:23,2022-11-01 03:41:35,delivered,,24.56,2.2,27.0,4.3,17.4,14.5,3.67,no,Android,Baixa,15338,returning
969,2022-11-01 03:07:39,2022-11-01 03:40:39,delivered,,32.49,2.83,36.0,4.6,8.8,19.6,4.72,no,iOS,Baixa,13593,returning
569,2022-11-01 03:08:59,2022-11-01 03:38:35,delivered,,38.38,2.06,28.0,5.1,10.6,13.9,3.44,no,iOS,Parque das Nacoes,6382,new
218,2022-11-01 03:12:09,2022-11-01 03:51:03,delivered,,18.57,3.28,38.0,1.7,15.8,21.4,5.46,no,Android,Belem,10984,returning
458,2022-11-01 03:12:57,2022-11-01 03:46:51,delivered,,28.75,1.73,27.0,4.5,18.0,11.4,2.89,yes,iOS,Parque das Nacoes,7413,new
596,2022-11-01 03:13:55,2022-11-01 04:13:55,delivered,,24.37,7.01,69.0,6.0,14.4,39.6,11.69,no,iOS,Belem,3325,returning
580,2022-11-01 03:15:30,2022-11-01 03:44:42,delivered,,18.34,2.51,36.0,4.2,19.2,5.8,4.18,no,iOS,Parque das Nacoes,9781,returning
417,2022-11-01 03:17:00,2022-11-01 03:37:36,delivered,,23.13,1.77,23.0,3.3,12.0,5.3,2.95,no,iOS,Parque das Nacoes,19811,returning
777,2022-11-01 03:17:04,2022-11-01 03:59:40,delivered,,24.25,1.94,26.0,5.7,15.5,21.4,3.23,no,Android,Parque das Nacoes,18003,returning
280,2022-11-01 03:18:18,2022-11-01 04:11:12,delivered,,22.31,3.74,47.0,4.5,15.5,32.9,6.24,no,iOS,Baixa,11433,returning
200,2022-11-01 03:18:23,2022-11-01 04:00:11,delivered,,33.57,3.98,49.0,4.5,12.4,24.9,6.64,no,Android,Parque das Nacoes,9941,returning
370,2022-11-01 03:21:20,2022-11-01 04:00:44,delivered,,18.87,2.07,30.0,3.2,16.9,19.3,3.45,no,Android,Alfama,11362,returning
114,2022-11-01 03:21:21,2022-11-01 03:52:51,delivered,,25.13,1.82,25.0,3.6,17.8,10.1,3.04,no,iOS,Parque das Nacoes,14648,new
385,2022-11-01 03:25:00,2022-11-01 03:51:12,delivered,,23.6,1.59,29.0,3.7,15.9,6.6,2.65,no,Android,Belem,8795,returning
829,2022-11-01 03:25:53,2022-11-01 03:58:05,delivered,,25.3,1.54,22.0,4.3,9.1,18.8,2.57,no,iOS,Belem,13169,returning
442,2022-11-01 03:26:25,2022-11-01 04:16:25,delivered,,29.66,2.33,23.0,4.3,18.5,27.2,3.88,no,iOS,Baixa,4462,returning
476,2022-11-01 03:29:01,2022-11-01 04:13:31,delivered,,24.66,3.69,46.0,4.3,14.2,26.0,6.15,no,iOS,Parque das Nacoes,19308,returning
896,2022-11-01 03:29:13,2022-11-01 04:04:01,delivered,,29.36,1.93,26.0,6.1,10.8,17.9,3.21,no,iOS,Alfama,12991,returning
973,2022-11-01 03:29:35,2022-11-01 03:55:41,delivered,,18.64,0.85,8.0,4.5,7.2,14.4,1.42,no,iOS,Alfama,18692,returning
77,2022-11-01 03:33:08,2022-11-01 04:20:14,delivered,,20.26,3.43,40.0,5.9,16.4,24.8,5.72,no,Android,Parque das Nacoes,13802,new
57,2022-11-01 03:33:21,2022-11-01 03:52:21,delivered,,45.01,1.01,14.0,4.8,6.6,7.6,1.68,no,iOS,Baixa,17459,returning
612,2022-11-01 03:35:04,2022-11-01 04:05:52,delivered,,10.0,1.31,25.0,3.0,18.4,9.4,2.19,no,Android,Parque das Nacoes,3446,new
333,2022-11-01 03:35:39,2022-11-01 04:22:21,delivered,,24.37,3.34,41.0,3.5,18.6,24.6,5.56,no,Android,Parque das Nacoes,15396,returning
753,2022-11-01 03:36:13,2022-11-01 04:10:55,delivered,,21.06,2.5,33.0,3.0,16.6,15.1,4.17,no,iOS,Belem,14885,returning
590,2022-11-01 03:36:59,,cancelled,Cancelled by user,17.81,0.97,19.0,4.6,19.8,5.0,1.62,no,Android,Alfama,15244,returning
913,2022-11-01 03:37:06,2022-11-01 04:12:36,delivered,,26.53,1.06,18.0,5.1,20.4,10.0,1.76,no,Android,Parque das Nacoes,1212,new
103,2022-11-01 03:37:55,2022-11-01 04:28:01,delivered,,32.45,4.0,42.0,2.9,17.6,29.6,6.67,no,iOS,Belem,13325,returning
817,2022-11-01 03:38:46,2022-11-01 04:30:04,delivered,,15.19,4.47,52.0,4.1,16.9,30.3,7.45,no,Android,Baixa,11058,returning
578,2022-11-01 03:40:54,2022-11-01 04:19:48,delivered,,31.55,4.41,49.0,5.2,9.8,23.9,7.35,yes,iOS,Alfama,14093,returning
289,2022-11-01 03:43:51,2022-11-01 04:00:51,delivered,,15.77,1.34,22.0,4.1,6.0,6.9,2.24,no,Android,Baixa,11062,returning
811,2022-11-01 03:44:37,2022-11-01 04:25:07,delivered,,38.44,1.64,22.0,3.5,13.8,23.2,2.74,no,iOS,Parque das Nacoes,4796,returning
